	H1-1L	H1-1S	H1-1SP	H1-3	H1-3P	H1-6	H1-6P	H2-3	H2-3P	H2-5	H2-5P	H2-8	K1-3	K1-3P	K2-2	N1-2
M02144:85:000000000-B48VY:1:1102:15549:20870;size=1;	0	0	0	38	22	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:15883:3661;size=1;	0	1	3	1	2	1	0	29	16	0	3	40	93	580	0	0
M02144:85:000000000-B48VY:1:1102:15964:16449;size=1;	0	0	0	4	4	2	1	26	26	0	1	2	782	3767	1	2
M02144:85:000000000-B48VY:1:1102:15992:18803;size=1;	0	0	0	0	0	0	0	20	2	0	0	0	4	4	0	0
M02144:85:000000000-B48VY:1:1102:16005:5992;size=1;	0	0	0	170	182	0	0	0	0	0	0	0	1	1	0	0
M02144:85:000000000-B48VY:1:1102:16033:9690;size=1;	0	0	0	0	0	0	0	0	0	35	145	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:16151:9325;size=3;	0	0	0	0	1	0	0	0	0	3	239	1	0	0	0	0
M02144:85:000000000-B48VY:1:1102:16389:17769;size=1;	0	9	0	26	6	20	0	50	34	4	0	93	4	6	0	0
M02144:85:000000000-B48VY:1:1102:16501:14411;size=2;	0	0	0	0	0	0	0	0	0	23	433	5	0	0	0	0
M02144:85:000000000-B48VY:1:1102:16562:8284;size=1;	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:16752:19377;size=1;	0	0	0	26	9	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:16850:14963;size=1;	0	0	0	0	0	0	0	7	3	0	0	0	2	0	0	0
M02144:85:000000000-B48VY:1:1102:17002:5784;size=1;	0	0	0	0	0	0	0	5	0	0	0	1	229	4	0	0
M02144:85:000000000-B48VY:1:1102:17033:23211;size=1;	0	0	0	55	52	0	0	4	2	0	0	2	20	76	1	0
M02144:85:000000000-B48VY:1:1102:17158:15477;size=5;	1	0	0	1	1	249	88	0	0	1	3	132	0	0	0	0
M02144:85:000000000-B48VY:1:1102:17405:7311;size=1;	0	0	0	17	9	0	0	0	0	2	0	0	0	0	1	0
M02144:85:000000000-B48VY:1:1102:18070:12693;size=1;	0	0	0	0	0	0	0	29	21	0	0	0	25	1	0	0
M02144:85:000000000-B48VY:1:1102:18123:7494;size=1;	1	0	1	0	0	190	75	0	1	1	0	0	0	0	6	0
M02144:85:000000000-B48VY:1:1102:18271:7859;size=1;	0	0	0	2569	1431	0	1	1	0	3	0	0	0	1	0	1
M02144:85:000000000-B48VY:1:1102:18439:24448;size=1;	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1
M02144:85:000000000-B48VY:1:1102:18787:10001;size=4;	149	5	0	0	0	0	0	0	0	0	2	0	0	0	283	0
M02144:85:000000000-B48VY:1:1102:18971:14132;size=1;	0	0	0	0	1	0	0	0	0	48	90	15	0	0	1	0
M02144:85:000000000-B48VY:1:1102:19096:15245;size=1;	0	0	0	0	0	0	0	14	10	1	9	3	149	311	0	0
M02144:85:000000000-B48VY:1:1102:19124:14272;size=1;	0	0	0	39	33	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:19409:22005;size=1;	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:19561:8425;size=1;	0	0	0	0	1	0	0	158	157	0	0	0	2	5	0	0
M02144:85:000000000-B48VY:1:1102:19788:14048;size=1;	0	0	0	26	6	0	0	0	0	2	0	1	0	0	0	0
M02144:85:000000000-B48VY:1:1102:19842:24264;size=1;	0	0	0	0	0	3	2	0	0	4	0	6	1	11	0	0
M02144:85:000000000-B48VY:1:1102:20049:5895;size=1;	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:20144:23647;size=1;	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:20451:15170;size=1;	1172	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
M02144:85:000000000-B48VY:1:1102:20451:3978;size=6;	0	0	0	0	4	0	0	0	0	512	427	1167	1	1	0	0
M02144:85:000000000-B48VY:1:1102:20594:2328;size=1;	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0
